content,score
deepseek better chatgpt please update deepseek ad picture watching picture dizain,5
I like this app it's really helpful and it's easy to use and have a lot of features that can be helpful for you study so I give it a five star and I recommend using this app,5
absolute beast.,5
not fully good once start using it 😕,1
"all time good app , it's great piece of mind 😉",5
amazing apps. I love using this but it's hard to save long conversations. could deep seek team add: 1. chat history sync between apps and web? 2. export chat function I am sure many users will find this super useful. thanks!,4
"Best Ai for Research, but there is happening Server busy issue while using continuesly so please fix the issue as soon as possible for more better experience",4
good,5
"Often very helpful, but! The algorithm by which this program works: ""Pretend that you know everything; if suddenly user caught you in a lie and provides evidence - fall at his feet, beg for forgiveness."" 😃 Quotes are made up on the fly. If you give a tiny hint: it will inflate a mountain of reasoning on its basis and pass it off as its own knowledge. 😄 Sort chats, find chat etc. can be of great help. Also copy and paste has problem: asteriks surround all words which were bold in original.",3
good experience,5
Good 👍🏻👍🏻👍🏻👍🏻,5
Finally free AI,5
exelente app,5
Exceptional! Makes my work simpler,5
its is very cheap and local app not installed this app,1
very good,5
We can't write anything in Kurdish,1
"it's a great tool, shows where and how it is giving the answers.",5
"chat wise, it's awesome. still lacks voice chat capabilities though...",5
Great app for my studies,5
"Also introduce the ""read aloud"" feature like what is in the chatgpt Also introduce recording feature as it is in chat GPT. I avoid using deep seek because I have to edit my prompt but in chat GPT, it do it on its own",3
good fir english,5
wonderful Ai tool it crushed chat gpt but it lacks the voice chat,5
this is very good and free😍😍😍,5
Sounds like an Experienced human being...a very lovely buddy and a good business adviser,5
The best app 😍,5
"When it performs, it performs extraordinarily well. Gives most natural responses compared to other AI assistants but the thing holding it back is the infamous server issue.",3
I am really finding such kind of AI. Awesome!,5
Add a file uploader which i can do data analysis using python.,4
Good thing,4
Amazing 👌👌,5
amazing,5
fake information 🚫🚫.,1
Nice,5
chat gpt is best one.,1
that is very good. it tell us more options. it help to do home worck and other thing. Thank you.,5
"Recommended by a friend, never regretted!",5
Very helpfull,5
It is a very bad app I don't know why there is so much hype for this app chatgpt is far better,1
it's very important and knowledgeable apps. Thanks china,4
Detailed explanation provided,5
This AI is very impressive 🔥🔥🔥,5
best on web but WORST on app,1
Very too much very helpful.,5
In the beginning was cool but now is not working I don't recommend,1
Good Ai,5
"Right off the bat, it doesn't do what I ask. uninstalled",1
dis is not updated yet bahut pichhe hai auro ki tulna me,1
nice,5
good,5
Finally Open Source & Affordable AI Model,4
"Great free and smart AI chat, without ads. The server was unstable in the start due to high load, but now it works fine without issues. Thanks to developers for providing alternative to another well-known AI chat.",5
super app,5
is my favorite app for free 💓💓💓💓,5
Best app ever,5
"1. Need a Memory feature to remember chats. 2. Add voice to read aloud and voice chat feature. 3. add ""Pin chat"" feature. 4. Make the results faster, sometimes it takes so long. 5. Add other languages.",3
wow,5
عالیه,5
very best application govt and non govt work and latter writing,5
imaze generator leack,3
aplicatia asta este foarte buna si poti rezolva temele gratuit fara sa plătești bani 💸,5
"Deepseek is better than ChatGpt ngl.. Small issue is response time is take more than ChatGpt, but it's ok ⚡❤️",5
Deepseek is a great app but I think there are one or two issues the developers are aware they need to work hard to address them of which I think they are on it for instance the issue with font size if they can make it adjustable it will make reading search results to be more convenient,4
عالی,5
Best AI,5
very good,5
"quite often, the servers are unavailable.",2
"IN CODING IS FAR MORE WAY BETTER THAN CHAT GPT , IT GAVE ME A 1500+ LINES OF CODE IN SINGLE SHOT , THATS UNBELIEVABLE AND AMAZING, THANKS TO DEVELOPER",5
not accurate in details,1
"I can make Roblox script with this ai💀, not like chatgpt",5
server is busy😂😂😂,1
nice,5
A very wonderful application. Thank you to China for this powerful and amazing application. I hope to develop the application in the future. It is our wonderful right. 💚💛,5
excellent,5
bad,1
"super it's totally Free and its very nice, far better than chat gpt.",5
